N,Event,XY,Period
1,Inicia CRC,,Primer tiempo
1,Inicia ARG,,Primer tiempo
1,Posesión ofensiva CRC,,Primer tiempo
1,Saque del medio CRC,,Primer tiempo
1,Pase CRC,101;221 5;306,Primer tiempo
1,Control sin oposición ARG,196;38,Primer tiempo
1,Posesión defensiva ARG,,Primer tiempo
1,Pase ARG,191;33 95;10,Primer tiempo
2,Pase ARG,83;14 43;269,Primer tiempo
1,Posesión ofensiva ARG,,Primer tiempo
1,Posesión defensiva CRC,31;291 93;183 37;325,Primer tiempo
1,Intercepción CRC,145;113,Primer tiempo
2,Posesión ofensiva CRC,,Primer tiempo
2,Pase CRC,97;179 34;314,Primer tiempo
1,Intercepción ARG,157;76,Primer tiempo
2,Posesión defensiva ARG,,Primer tiempo
2,Posesión ofensiva ARG,129;163 34;295 34;297,Primer tiempo
3,Pase ARG,129;163 34;297,Primer tiempo
1,Recepción ARG,34;295,Primer tiempo
1,Sin posesión,51;351 146;37,Primer tiempo
1,Pérdida no forzada ARG,59;355,Primer tiempo
3,Posesión ofensiva ARG,51;343 72;328 72;331,Primer tiempo
4,Pase ARG,5;364 5;384,Primer tiempo
1,Córner ARG,,Primer tiempo
2,Recepción ARG,5;385,Primer tiempo
1,Duelo ARG,20;368,Primer tiempo
1,Recuperación CRC,74;333,Primer tiempo
2,Duelo ARG,72;328,Primer tiempo
2,Control sin oposición ARG,157;171,Primer tiempo
3,Posesión defensiva ARG,,Primer tiempo
4,Posesión ofensiva ARG,128;314,Primer tiempo
3,Duelo ARG,128;314,Primer tiempo
2,Sin posesión,119;310 115;427,Primer tiempo
1,Ataque ARG,119;310 115;427,Primer tiempo
1,Saque de arco CRC,20;269,Primer tiempo
2,Intercepción ARG,156;123,Primer tiempo
4,Posesión defensiva ARG,,Primer tiempo
5,Posesión ofensiva ARG,,Primer tiempo
2,Ataque ARG,48;336 136;447,Primer tiempo
3,Sin posesión,48;336,Primer tiempo
3,Posesión ofensiva CRC,,Primer tiempo
3,Pase CRC,111;220 194;286,Primer tiempo
2,Saque del medio CRC,,Primer tiempo
1,Recepción CRC,194;294,Primer tiempo
4,Sin posesión,,Primer tiempo
1,Recuperación ARG,6;209,Primer tiempo
6,Posesión ofensiva ARG,,Primer tiempo
3,Control sin oposición ARG,6;177,Primer tiempo
5,Pase ARG,7;262 196;232,Primer tiempo
3,Recepción ARG,186;228,Primer tiempo
4,Duelo ARG,193;299,Primer tiempo
5,Duelo ARG,158;352,Primer tiempo
5,Sin posesión,,Primer tiempo
2,Saque de arco CRC,196;358,Primer tiempo
1,Saque de arco ARG,192;208,Primer tiempo
7,Posesión ofensiva ARG,,Primer tiempo
6,Duelo ARG,194;303,Primer tiempo
6,Sin posesión,,Primer tiempo
6,Pase ARG,169;287 7;316,Primer tiempo
1,Bote a tierra,,Primer tiempo
3,Saque de arco CRC,5;314,Primer tiempo
3,Intercepción ARG,193;114,Primer tiempo
4,Control sin oposición ARG,183;78,Primer tiempo
5,Posesión defensiva ARG,,Primer tiempo
7,Sin posesión,,Primer tiempo
7,Pase ARG,194;82 6;300,Primer tiempo
5,Control sin oposición ARG,79;136,Primer tiempo
6,Posesión defensiva ARG,,Primer tiempo
4,Recepción ARG,164;242,Primer tiempo
8,Pase ARG,23;100 197;266,Primer tiempo
8,Sin posesión,,Primer tiempo
2,Recuperación ARG,189;385,Primer tiempo
8,Posesión ofensiva ARG,,Primer tiempo
9,Sin posesión,,Primer tiempo
7,Duelo ARG,163;363,Primer tiempo
2,Recuperación CRC,31;27,Primer tiempo
3,Recuperación ARG,175;316,Primer tiempo
6,Control sin oposición ARG,173;168,Primer tiempo
7,Posesión defensiva ARG,,Primer tiempo
9,Posesión ofensiva ARG,,Primer tiempo
3,Ataque ARG,66;359 53;442,Primer tiempo
10,Sin posesión,,Primer tiempo
7,Control sin oposición ARG,75;264,Primer tiempo
10,Posesión ofensiva ARG,,Primer tiempo
2,Posesión defensiva CRC,,Primer tiempo
8,Duelo ARG,10;327,Primer tiempo
3,Recuperación CRC,197;76,Primer tiempo
2,Recepción CRC,7;228,Primer tiempo
4,Pase CRC,194;92 194;146,Primer tiempo
1,Duelo CRC,,Primer tiempo
4,Recuperación ARG,5;210,Primer tiempo
8,Posesión defensiva ARG,,Primer tiempo
11,Posesión ofensiva ARG,,Primer tiempo
9,Pase ARG,78;213 183;396,Primer tiempo
11,Sin posesión,,Primer tiempo
4,Saque de arco CRC,196;168,Primer tiempo
3,Posesión defensiva CRC,,Primer tiempo
4,Intercepción ARG,146;153,Primer tiempo
9,Posesión defensiva ARG,,Primer tiempo
10,Pase ARG,76;146 6;343,Primer tiempo
5,Recuperación ARG,8;292,Primer tiempo
12,Posesión ofensiva ARG,,Primer tiempo
12,Sin posesión,,Primer tiempo
4,Ataque ARG,69;342,Primer tiempo
8,Control sin oposición ARG,10;247,Primer tiempo
13,Posesión ofensiva ARG,,Primer tiempo
5,Ataque ARG,145;287 134;462,Primer tiempo
9,Control sin oposición ARG,186;276,Primer tiempo
9,Duelo ARG,164;279,Primer tiempo
13,Sin posesión,,Primer tiempo
6,Ataque ARG,156;351,Primer tiempo
4,Posesión ofensiva CRC,,Primer tiempo
3,Saque del medio CRC,,Primer tiempo
5,Intercepción ARG,181;55,Primer tiempo
10,Posesión defensiva ARG,,Primer tiempo
5,Pase CRC,99;211 10;300,Primer tiempo
14,Sin posesión,,Primer tiempo
11,Pase ARG,196;37 102;7,Primer tiempo
12,Pase ARG,111;7 156;307,Primer tiempo
14,Posesión ofensiva ARG,,Primer tiempo
5,Recepción ARG,149;303,Primer tiempo
10,Duelo ARG,145;309,Primer tiempo
15,Sin posesión,,Primer tiempo
7,Ataque ARG,109;351 100;443,Primer tiempo
1,Control sin oposición CRC,177;34,Primer tiempo
4,Posesión defensiva CRC,,Primer tiempo
2,Duelo CRC,,Primer tiempo
6,Recuperación ARG,78;287,Primer tiempo
15,Posesión ofensiva ARG,,Primer tiempo
16,Sin posesión,,Primer tiempo
8,Ataque ARG,57;320,Primer tiempo
2,Control sin oposición CRC,5;25,Primer tiempo
5,Posesión defensiva CRC,,Primer tiempo
4,Primer tiempo,,Primer tiempo
5,Primer tiempo,,Primer tiempo
6,Primer tiempo,,Primer tiempo
7,Primer tiempo,,Primer tiempo
8,Primer tiempo,,Primer tiempo
9,Primer tiempo,,Primer tiempo
17,Sin posesión,,Primer tiempo
1,Falta CRC,4;21,Primer tiempo
1,Entra ARG,,Primer tiempo
1,Sale ARG,,Primer tiempo
1,Tiro libre ARG,196;352,Primer tiempo
16,Posesión ofensiva ARG,,Primer tiempo
18,Sin posesión,,Primer tiempo
9,Ataque ARG,168;322 5;459,Primer tiempo
5,Saque de arco CRC,22;348,Primer tiempo
6,Intercepción ARG,162;170,Primer tiempo
2,Saque de arco ARG,110;303,Primer tiempo
2,Intercepción CRC,101;106,Primer tiempo
17,Posesión ofensiva ARG,,Primer tiempo
19,Sin posesión,,Primer tiempo
11,Duelo ARG,103;317,Primer tiempo
4,Recuperación CRC,78;78,Primer tiempo
7,Recuperación ARG,183;260,Primer tiempo
18,Posesión ofensiva ARG,,Primer tiempo
10,Ataque ARG,114;335 99;427,Primer tiempo
12,Duelo ARG,194;279,Primer tiempo
20,Sin posesión,,Primer tiempo
10,Control sin oposición ARG,7;314,Primer tiempo
19,Posesión ofensiva ARG,,Primer tiempo
13,Duelo ARG,6;317,Primer tiempo
13,Pase ARG,5;346 5;319,Primer tiempo
6,Recepción ARG,5;310,Primer tiempo
14,Duelo ARG,6;287,Primer tiempo
21,Sin posesión,,Primer tiempo
5,Recuperación CRC,182;119,Primer tiempo
1,Despeje CRC,177;112,Primer tiempo
11,Control sin oposición ARG,196;108,Primer tiempo
11,Posesión defensiva ARG,,Primer tiempo
15,Duelo ARG,197;123,Primer tiempo
22,Sin posesión,,Primer tiempo
16,Duelo ARG,150;338,Primer tiempo
6,Recuperación CRC,54;59,Primer tiempo
1,Sale CRC,,Primer tiempo
1,Entra CRC,,Primer tiempo
2,Sale CRC,,Primer tiempo
2,Entra CRC,,Primer tiempo
6,Saque de arco CRC,6;263,Primer tiempo
5,Posesión ofensiva CRC,,Primer tiempo
3,Duelo CRC,20;201,Primer tiempo
6,Pase CRC,112;273 197;272,Primer tiempo
3,Recepción CRC,194;245,Primer tiempo
23,Sin posesión,,Primer tiempo
4,Duelo CRC,194;214,Primer tiempo
8,Recuperación ARG,6;185,Primer tiempo
12,Control sin oposición ARG,7;269,Primer tiempo
20,Posesión ofensiva ARG,,Primer tiempo
24,Sin posesión,,Primer tiempo
17,Duelo ARG,102;280,Primer tiempo
11,Ataque ARG,126;307 170;462,Primer tiempo
7,Saque de arco CRC,194;344,Primer tiempo
3,Saque de arco ARG,193;191,Primer tiempo
12,Posesión defensiva ARG,,Primer tiempo
21,Posesión ofensiva ARG,,Primer tiempo
14,Pase ARG,181;205 4;352,Primer tiempo
25,Sin posesión,,Primer tiempo
8,Saque de arco CRC,118;311,Primer tiempo
4,Saque de arco ARG,193;223,Primer tiempo
22,Posesión ofensiva ARG,,Primer tiempo
